Title,Artist,Genre,Release,Rating
Believe [CD],Yolanda Adams,Gospel & Christian,12/04/01,4.8
Playlist: The Very Best of MercyMe [CD],MercyMe,Gospel & Christian,10/15/2013,
Dark Sky Island [CD],Enya,New Age,11/20/2015,4.8
Wow: Gospel 2015: The Year's 30 Top Gospel Artists And Songs [CD],Various Artists,New Age,02/03/15,4.5
"Feadoga Stain, Vol. 1 [CD]",Mary Bergin,World,02/01/94,
"Feadoga Stain, Vol. 2 [CD]",Mary Bergin,World,04/22/1993,
Grace [CD],Michael Hoppé,New Age,05/14/2013,
Wow Gospel Essentials All-Time Favorite Songs [CD],Various Artists,Gospel & Christian,09/16/2008,5
30/40 [CD],Mannheim Steamroller,Holiday,10/21/2014,4.6
I Feel Love Again [CD],Pavlo,New Age,06/18/2013,
Spirit Prayer: Best of Native American Flute [CD],Alice Gomez,New Age,03/24/2017,
Paint the Sky with Stars: The Best of Enya [CD],Enya,New Age,01/13/2008,5
Delta Sleep System [CD],Jeffrey D. Thompson,New Age,05/15/2001,
In the Mirror [CD],Yanni,New Age,04/29/2008,
Native Visions: A Native American Music Journey [CD],Ah*Nee*Mah,World,02/26/2013,
Zen: Music For Reflection [CD],Various Artists,New Age,07/01/16,
The  Dream Concert: Live from the Great Pyramids of Egypt [CD & DVD],Yanni,New Age,06/03/16,4.8
Dark Sky Island [Deluxe Edition] [CD],Enya,New Age,11/20/2015,4.7
I Believe: The Gospel Masters [CD],Elvis Presley,Gospel & Christian,03/10/09,5
The Gift [CD],Jim Brickman,New Age,02/01/08,4
The Very Best of Enya [CD],Enya,New Age,12/01/09,4.8
Seven Lives Many Faces [CD],Enigma,New Age,09/30/2008,5
And Winter Came [CD],Enya,New Age,11/11/08,5
Shepherd Moons [CD],Enya,New Age,11/19/1991,4
One More Light [CD],Linkin Park,Pop,05/19/2017,4.3
Pop Evil [CD],Pop Evil,Pop,02/16/2018,4.1
Icon [CD],Eric Clapton,Blues,04/05/11,4.8
The Very Best of Chicago: Only the Beginning [CD],Chicago,Pop,07/02/02,4.8
Doo-Wops & Hooligans [CD],Bruno Mars,Pop,10/05/10,4.7
Number Ones [Bonus Track] [CD],Bee Gees,R&B Soul,11/09/04,4.9
Rage Against the Machine [CD],Rage Against the Machine,Pop,11/11/14,4.8
Divide [Deluxe Version] [CD],Ed Sheeran,Pop,03/03/17,4.8
Evolve [CD],Imagine Dragons,Pop,06/23/2017,4.6
 Outsider [CD],Three Days Grace,Pop,03/09/18,4.3
The Best of the Early Years [CD],Glen Campbell,Country,02/01/91,4.8
Beautiful Trauma [CD] [PA],P!nk,Pop,10/13/2017,4.6
Asking Alexandria [CD],Asking Alexandria,Pop,12/15/2017,4.4
Meaning of Life [CD],Kelly Clarkson,Pop,10/27/2017,4.5
All-Time Greatest Hits [CD],Neil Diamond,Pop,07/08/14,4.9
Rumours [CD],Fleetwood Mac,Pop,10/25/1990,4.9
Greatest Hits [CD],Tom Petty,Pop,11/16/1993,4.9
Red Pill Blues [CD],Maroon 5,Pop,11/03/17,4.4
