genre,release,price,artist,title
Pop,11/16/2010,$7.99,P!nk,Greatest Hits... So Far!!! [CD] [PA]
Pop,03/16/2018,$9.99,Stone Temple Pilots, Stone Temple Pilots [2018] [Bonus Tracks] [Only @ Best Buy] [CD]
Pop,06/02/17,$5.99,The Doors,Doors [50th Anniversary Remastered Edition] [1CD] [CD]
Blues,04/05/11,$5.99,Eric Clapton,Icon [CD]
Pop,03/09/18,$13.99,Jimi Hendrix, Both Sides of the Sky [CD]
Pop,03/13/2012,$3.99,Chicago,If You Leave Me Now (And Other Hits) [2012] [CD]
Latin,02/02/18,$9.99,Various Artists,Now That's What I Call Music! 65 [CD]
Country,11/10/14,$11.99,Zac Brown,Greatest Hits So Far... [CD]
Pop,02/02/18,$13.99,Justin Timberlake,Man of the Woods [CD]
Pop,11/16/1993,$7.99,Tom Petty,Greatest Hits [CD]
Pop,11/03/17,$13.99,Maroon 5,Red Pill Blues [CD]
Pop,07/07/10,$5.99,Aerosmith,20th Century Masters: The Millennium Collection: The Best Of Aerosmith [CD]
Pop,09/24/2002,$18.99,Queen,Greatest Hits: I II & III: The Platinum Collection [CD]
Jazz,10/16/2007,$7.99,Santana,Ultimate Santana [CD]
R&B Soul,12/11/15,$5.99,"Earth, Wind & Fire","Playlist: The Very Best of Earth, Wind & Fire [CD]"
Pop,05/25/2004,$5.99,Slipknot,Vol. 3: The Subliminal Verses [CD] [PA]
Pop,12/11/15,$5.99,Santana,Playlist: The Very Best of Santana [CD]
Pop,06/11/13,$7.99,Queen,Icon [CD]
Vocal,12/11/15,$5.99,Journey,Playlist: Journey Greatest Hits [CD]
Pop,05/19/2017,$13.99,Linkin Park,One More Light [CD]
Pop,12/15/2017,$8.99,Asking Alexandria,Asking Alexandria [CD]
Pop,12/15/2017,$13.99,N.E.R.D,NO ONE EVER REALLY DIES [CD] [PA]
Pop,06/26/2012,$5.99,Linkin Park,Living Things [CD]
Pop,03/26/2002,$6.99,Iron Maiden,The Number of the Beast [CD]
Gospel & Christian,11/01/95,$9.99,Cristy Lane,One Day at a Time [CD]
Gospel & Christian,09/20/2005,$8.99,Karaoke,"Party Tyme Karaoke: Contemporary Christian, Vol. 1 [CD]"
New Age,01/28/2003,$12.99,Gabrielle Roth,"Yogafit: Music for Slow Flow Yoga, Vol. 2 [CD]"
New Age,07/02/02,$12.99,Gabrielle Roth,Yogafit: Music for Slow Flow Yoga [CD]
Holiday,10/21/2014,$12.99,Mannheim Steamroller,30/40 [CD]
New Age,09/02/16,$13.99,Jim Brickman,"Soothe, Vol. 1: Music to Quiet Your Mind & Soothe Your World [CD]"
New Age,09/19/2006,$13.99,Jake Shimabukuro,Gently Weeps [CD]
Easy Listening,10/16/2015,$14.99,Mannheim Steamroller,Live [Only @ Best Buy] [CD & Blu-Ray]
New Age,02/16/1999,$5.99,Various Artists,Sounds of Nature: Rainstorms and Nature [CD]
New Age,09/26/2006,$9.99,Jeffrey D. Thompson,Thunderstorm with Alpha Brainwave Pulses [CD]
New Age,04/24/2007,$13.99,Nawang Khechog,Tibetan Meditation Music [CD]
Jazz,03/31/2017,$11.99,George Winston,Spring Carousel [CD]
New Age,09/01/10,$12.99,Various Artists,Ocean Waves: Calming Sounds of the Sea [CD]
New Age,10/27/2014,$13.99,Christopher Krotky,Chakra Flow: Music For Yoga and Meditation [CD]
Gospel & Christian,08/27/2013,$9.99,Michael Card,Sleep Sound In Jesus: Gentle Lullabies For Baby [CD]
Gospel & Christian,03/11/97,$13.99,Bill & Gloria Gaither,"The Gaither Gospel Series: Best of Homecoming, Vol. 1 [CD]"
New Age,05/17/2005,$3.99,Various Artists,Sounds of Nature: The Rainforest [CD]
New Age,10/12/06,$13.99,Various Artists,Nature Sound Series: Forest Ambience (Nature Sounds Only Version) [CD]
New Age,04/26/2007,$13.99,Various Artists,Nature Sound Series: Tropical Ocean Surf [Nature Sounds with Relaxation Music] [CD]
New Age,11/20/2015,$13.99,Enya,Dark Sky Island [CD]
Gospel & Christian,12/04/01,$3.99,Yolanda Adams,Believe [CD]
New Age,12/11/07,$8.99,Yanni,Live at the Acropolis [Bonus Track] [CD]
New Age,12/05/95,$14.99,Enya,The Memory of Trees [CD]
New Age,11/20/2015,$16.99,Enya,Dark Sky Island [Deluxe Edition] [CD]
Pop,05/19/2017,$8.99,Papa Roach,Crooked Teeth [Deluxe] [2CD] [CD]
Pop,12/01/17,$11.99,Five Finger Death Punch,A  Decade of Destruction [CD] [PA]
Country,01/12/18,$13.99,Various Artists,2018 Grammy Nominees [CD]
Pop,06/27/2000,$5.99,Heart,Greatest Hits 1985 -1995 [CD]
Pop,04/05/11,$5.99,Cat Stevens,Icon [CD]
Pop,10/25/1990,$7.99,Eagles,"Greatest Hits, Vol. 2 [CD]"
Pop,03/04/03,$7.99,Evanescence,Fallen [CD]
Pop,05/12/17,$5.99,America,An  Introduction To [CD]
Folk,12/11/15,$5.99,Bob Dylan,Playlist: The Very Best of Bob Dylan [CD]
Pop,06/12/12,$7.99,Ed Sheeran,+ [Enhanced CD]
Pop,03/31/2015,$5.99,Van Halen,1984 [LP] [CD]
Pop,01/16/2001,$5.99,Alice Cooper,Mascara & Monsters: The Best of Alice Cooper [CD]
Pop,08/27/1991,$7.99,Pearl Jam,Ten [CD]
Pop,05/26/2015,$3.99,Alice in Chains,Facelift [CD]
Jazz,03/31/1998,$6.99,Santana,The Best of Santana [Columbia] [CD]
Pop,11/03/17,$13.99,Various Artists,Now That's What I Call Music! 64 [CD]
Pop,03/31/2017,$8.99,Mastodon,Emperor of Sand [CD]
Pop,11/11/16,$9.99,Olly Murs,24 Hrs [Deluxe Edition] [CD]
Latin,01/12/18,$13.99,Camila Cabello,Camila [CD]
