,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Artist,ltable_Genre,rtable_Title,rtable_Artist,rtable_Genre,Match
124,18710,18710,2013,396,Death of a Bachelor [CD],Panic! At the Disco,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
54,4673,4673,1221,119,Native [Bonus Tracks] [2014] [CD],OneRepublic,Pop,Native,OneRepublic,"Pop,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Contemporary Pop/Rock",1
268,34617,34617,710,732,Moving in Stereo: The Best of the Cars [LP] - VINYL,The Cars,Pop,The Smell Of Our Own,The Hidden Cameras,"Indie,Rock,Pop",0
293,35081,35081,4160,732,In Search of the Lost Chord [US 2008 Bonus Tracks] [CD],The Moody Blues,Pop,The Smell Of Our Own,The Hidden Cameras,"Indie,Rock,Pop",0
230,32134,32134,1675,645,Big Innings: The Best of the Outfield [CD],The Outfield,Pop,The Secret Life Of The Veronicas,The Veronicas,"Rock,Pop",0
134,18980,18980,4052,396,The Age of Absurdity [CD],Phil Campbell & the Bastard Sons,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
12,742,742,4021,43,Wildfire [CD],Rachel Platten,Pop,Wildfire,Rachel Platten,"Pop,R&B,Folk,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter",1
423,38900,38900,1720,803,Best of OMD [UK Bonus Tracks] [CD],Orchestral Manoeuvres in the Dark,Pop,The Beginning Stages Of...,The Polyphonic Spree,"Indie,Rock,Pop",0
272,34728,34728,1548,732,20th Century Masters - The Millennium Collection: The Best of the Grass Roots [CD],The Grass Roots,Pop,The Smell Of Our Own,The Hidden Cameras,"Indie,Rock,Pop",0
76,8070,8070,1929,231,Kee of Hearts [CD],Kee of Hearts,Pop,5 Seconds of Summer,5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",0
379,37793,37793,343,782,The Very Best of the Rolling Stones 1964-1971 [CD],The Rolling Stones,Pop,Age Of The Sun,The Sunshine Fix,"Indie,Rock,Pop",0
157,23139,23139,326,507,Best of the Mamas & the Papas: 20th Century Masters [CD],The Mamas & the Papas,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
