Id,Title,Artist,Genre,Release,Rating
1,Believe [CD],Yolanda Adams,Gospel & Christian,12/04/01,4.8
2,Playlist: The Very Best of MercyMe [CD],MercyMe,Gospel & Christian,10/15/2013,
3,Dark Sky Island [CD],Enya,New Age,11/20/2015,4.8
4,Wow: Gospel 2015: The Year's 30 Top Gospel Artists And Songs [CD],Various Artists,New Age,02/03/15,4.5
5,"Feadoga Stain, Vol. 1 [CD]",Mary Bergin,World,02/01/94,
6,"Feadoga Stain, Vol. 2 [CD]",Mary Bergin,World,04/22/1993,
7,Grace [CD],Michael Hoppé,New Age,05/14/2013,
8,Wow Gospel Essentials All-Time Favorite Songs [CD],Various Artists,Gospel & Christian,09/16/2008,5
9,30/40 [CD],Mannheim Steamroller,Holiday,10/21/2014,4.6
10,I Feel Love Again [CD],Pavlo,New Age,06/18/2013,
11,Spirit Prayer: Best of Native American Flute [CD],Alice Gomez,New Age,03/24/2017,
12,Paint the Sky with Stars: The Best of Enya [CD],Enya,New Age,01/13/2008,5
13,Delta Sleep System [CD],Jeffrey D. Thompson,New Age,05/15/2001,
14,In the Mirror [CD],Yanni,New Age,04/29/2008,
15,Native Visions: A Native American Music Journey [CD],Ah*Nee*Mah,World,02/26/2013,
16,Zen: Music For Reflection [CD],Various Artists,New Age,07/01/16,
17,The  Dream Concert: Live from the Great Pyramids of Egypt [CD & DVD],Yanni,New Age,06/03/16,4.8
18,Dark Sky Island [Deluxe Edition] [CD],Enya,New Age,11/20/2015,4.7
19,I Believe: The Gospel Masters [CD],Elvis Presley,Gospel & Christian,03/10/09,5
20,The Gift [CD],Jim Brickman,New Age,02/01/08,4
21,The Very Best of Enya [CD],Enya,New Age,12/01/09,4.8
22,Seven Lives Many Faces [CD],Enigma,New Age,09/30/2008,5
23,And Winter Came [CD],Enya,New Age,11/11/08,5
24,Shepherd Moons [CD],Enya,New Age,11/19/1991,4
25,One More Light [CD],Linkin Park,Pop,05/19/2017,4.3
26,Pop Evil [CD],Pop Evil,Pop,02/16/2018,4.1
27,Icon [CD],Eric Clapton,Blues,04/05/11,4.8
28,The Very Best of Chicago: Only the Beginning [CD],Chicago,Pop,07/02/02,4.8
29,Doo-Wops & Hooligans [CD],Bruno Mars,Pop,10/05/10,4.7
30,Number Ones [Bonus Track] [CD],Bee Gees,R&B Soul,11/09/04,4.9
31,Rage Against the Machine [CD],Rage Against the Machine,Pop,11/11/14,4.8
32,Divide [Deluxe Version] [CD],Ed Sheeran,Pop,03/03/17,4.8
