,Title,Artist,Genre,Release,Rating
0,reputation [CD],Taylor Swift,"Pop,Adult Contemporary,Pop/Rock,Dance-Pop,Teen Pop",11/10/2017,7.7
1,reputation [Picture Disc] [2 LP] [LP] - VINYL,Taylor Swift,"Pop,Adult Contemporary,Pop/Rock,Dance-Pop,Teen Pop",12/15/2017,7.7
2,Camila [CD],Camila Cabello,"Pop,Pop/Rock,Dance-Pop,Pop Idol,Teen Pop",1/12/2018,8.9
3,Unapologetically [CD],Kelsea Ballerini,"Pop,Country,Pop/Rock,Contemporary Country,Country-Pop",11/3/2017,7.5
4, The Neighbourhood [CD],The Neighbourhood,"Pop,Electronic,Pop/Rock,Contemporary Pop/Rock,Left-Field Pop,Synthwave",3/9/2018,0
5,Thank You [CD],Meghan Trainor,"Pop,Pop/Rock,Dance-Pop,Teen Pop,Contemporary Pop/Rock",5/13/2016,5.5
6,Thank You [Deluxe Edition] [CD],Meghan Trainor,"Pop,Pop/Rock,Dance-Pop,Teen Pop,Contemporary Pop/Rock",5/13/2016,5.5
7,Oh My My [CD],OneRepublic,"Pop,Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock",10/7/2016,7.9
8,Mad Love [CD] [PA],JoJo,"Pop,Pop/Rock,Dance-Pop",10/14/2016,8.6
9,Mad Love [CD],JoJo,"Pop,Pop/Rock,Dance-Pop",10/14/2016,8.6
10,So Good [CD] [PA],Zara Larsson,"Pop,Electronic,Pop/Rock,Dance-Pop",3/17/2017,7.6
11,Revival [CD],Selena Gomez,"Pop,Pop/Rock,Dance-Pop,Club/Dance",12/4/2015,7.6
12,Sounds Good Feels Good [CD],5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",10/23/2015,7
13,Purpose [CD],Justin Bieber,"Pop,Pop/Rock,Dance-Pop",11/13/2015,5.8
14,Purpose [LP] - VINYL,Justin Bieber,"Pop,Pop/Rock,Dance-Pop",11/13/2015,5.8
15,Wildfire [CD],Rachel Platten,"Pop,R&B,Folk,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter",1/1/2016,5.5
16,This Is Acting [Deluxe Edition] [CD],Sia,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter,Left-Field Pop",10/21/2016,7.6
17,This Is Acting [CD],Sia,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter,Left-Field Pop",1/29/2016,7.6
18,Mind of Mine [Deluxe Edition] [CD] [PA],ZAYN,"Pop,R&B,Pop/Rock,Contemporary R&B,Alternative R&B",3/25/2016,7.6
19,Lukas Graham [CD],Lukas Graham,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock",4/1/2016,6.4
20,Blurryface [LP] - VINYL,Twenty One Pilots,"Pop,Rap,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock,Underground Rap",7/31/2015,8.1
21,Blurryface [CD],Twenty One Pilots,"Pop,Rap,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock,Underground Rap",5/18/2015,8.1
22,"How Big, How Blue, How Beautiful [Bonus Tracks] [CD]",Florence + the Machine,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock",6/2/2015,8.9
23,Love in the Future,John Legend,"Pop,R&B,Soul,Urban,Pop/Rock,Contemporary Pop/Rock,Neo-Soul,Adult Contemporary R&B,Contemporary R&B",5/15/2001,7.5
24,Pure Heroine [CD],Lorde,"Pop,Pop/Rock",9/30/2013,8.8
25,Pure Heroine [LP] - VINYL,Lorde,"Pop,Pop/Rock",11/19/2013,8.8
26,Goodbye Yellow Brick Road [40th Anniversary Edition],Elton John,Pop,4/8/2014,8.6
27,Goodbye Yellow Brick Road [40th Anniversary Edition],Elton John,Pop,3/25/2014,8.6
28,In the Lonely Hour [CD],Sam Smith,"Pop,Adult Contemporary,Pop/Rock,Contemporary R&B,Left-Field Pop",6/17/2014,6.7
29,In the Lonely Hour [Drowning Shadows Edition] [LP] - VINYL,Sam Smith,"Pop,Adult Contemporary,Pop/Rock,Contemporary R&B,Left-Field Pop",1/15/2016,6.7
30,x [CD],Ed Sheeran,"Pop,Singer/Songwriter,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Alternative Singer/Songwriter",6/23/2014,7.2
31,x [Wembley Edition] [Deluxe Edition] [CD & DVD],Ed Sheeran,"Pop,Singer/Songwriter,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Alternative Singer/Songwriter",11/13/2015,7.2
32,x [2-LP] [LP] - VINYL,Ed Sheeran,"Pop,Singer/Songwriter,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Alternative Singer/Songwriter",7/15/2014,7.2
33,Unorthodox Jukebox [CD] [PA],Bruno Mars,"Pop,R&B,Pop/Rock",12/11/2012,6.7
34,Unorthodox Jukebox [Clean] [CD],Bruno Mars,"Pop,R&B,Pop/Rock",12/11/2012,6.7
35,Native [Bonus Tracks] [2014] [CD],OneRepublic,"Pop,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Contemporary Pop/Rock",4/18/2014,8.3
36,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",11/5/2002,7.8
37,Dance Again...The Hits [CD],Jennifer Lopez,"Pop,R&B",7/24/2012,7.3
38,Blown Away [CD],Carrie Underwood,"Pop,Country,Adult Contemporary,Pop/Rock,Pop Idol,Contemporary Country",5/1/2012,6.9
39,The  Truth About Love [CD] [PA],P!nk,"Pop,Pop/Rock,Dance-Pop,Contemporary Pop/Rock",9/18/2012,8.2
40,Truth About Love [LP] [PA],P!nk,"Pop,Pop/Rock,Dance-Pop,Contemporary Pop/Rock",9/18/2012,8.2
41,The  Truth About Love,P!nk,"Pop,Pop/Rock,Dance-Pop,Contemporary Pop/Rock",8/25/2017,8.2
42,Red [CD],Taylor Swift,"Pop,Country,Pop/Rock,Teen Pop,Contemporary Country,Country-Pop",10/22/2012,7.5
43,Red [LP] - VINYL,Taylor Swift,"Pop,Country,Pop/Rock,Teen Pop,Contemporary Country,Country-Pop",12/4/2012,7.5
44,Science & Faith [Bonus Tracks] [CD],The Script,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",1/18/2011,7.9
45,The Essential Michael Jackson [CD],Michael Jackson,"Pop,R&B,Pop/Rock,Dance-Pop,Adult Contemporary R&B,Contemporary R&B",7/19/2005,6.2
46,Who You Are [Platinum Edition] [CD],Jessie J,"Pop,Singer/Songwriter,Pop/Rock",11/22/2011,6.2
47,Rokstarr [CD],Taio Cruz,"Pop,R&B",6/1/2010,3.1
48,Just Dance [Remix] [CD],Lady Gaga,"Pop,Electronic,R&B,Urban,Pop/Rock,Dance-Pop,Club/Dance",6/17/2008,7.5
49,Speak Now [Deluxe Edition] [CD],Taylor Swift,"Pop,Country,Pop/Rock,Contemporary Country",1/17/2012,8
50,Hands All Over [Bonus Track] [CD],Maroon 5,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock",8/1/2011,6.7
51,Loud [CD],Rihanna,"Pop,R&B,Dance-Pop,Contemporary R&B",11/16/2010,7.7
52,After Laughter [CD],Paramore,"Pop,Pop/Rock,Alternative/Indie Rock,Emo-Pop,Left-Field Pop",5/12/2017,8.2
53,After Laughter [LP] - VINYL,Paramore,"Pop,Pop/Rock,Alternative/Indie Rock,Emo-Pop,Left-Field Pop",9/8/2017,8.2
54,Double Dutchess [CD] [PA],Fergie,"Pop,Rap,Pop/Rock,Dance-Pop,Pop-Rap,Contemporary Rap",9/22/2017,7.4
