,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Artist,ltable_Genre,ltable_Release,ltable_Rating,rtable_Title,rtable_Artist,rtable_Genre,rtable_Release,rtable_Rating
0,80,169,2,reputation [CD],Taylor Swift,Pop,11/10/2017,4.6,reputation,Taylor Swift,"Pop,Adult Contemporary,Pop/Rock,Dance-Pop,Teen Pop",10-Nov-17,7.7
1,81,912,2,reputation [Picture Disc] [2 LP] [LP] - VINYL,Taylor Swift,Pop,12/15/2017,4,reputation,Taylor Swift,"Pop,Adult Contemporary,Pop/Rock,Dance-Pop,Teen Pop",10-Nov-17,7.7
2,82,2266,3,Camila [CD],Camila Cabello,Latin,1/12/2018,4.8,Camila,Camila Cabello,"Pop,Pop/Rock,Dance-Pop,Pop Idol,Teen Pop",12-Jan-18,8.9
3,88,516,5,Unapologetically [CD],Kelsea Ballerini,Country,11/3/2017,4.8,Unapologetically,Kelsea Ballerini,"Pop,Country,Pop/Rock,Contemporary Country,Country-Pop",3-Nov-17,7.5
4,135,2304,8, The Neighbourhood [CD],The Neighbourhood,Electronic/Dance,3/9/2018,,The Neighbourhood,The Neighbourhood,"Pop,Electronic,Pop/Rock,Contemporary Pop/Rock,Left-Field Pop,Synthwave",9-Mar-18,tbd
5,155,1318,10,Thank You [CD],Meghan Trainor,Pop,5/13/2016,4.5,Thank You,Meghan Trainor,"Pop,Pop/Rock,Dance-Pop,Teen Pop,Contemporary Pop/Rock",13-May-16,5.5
6,167,2188,10,Thank You [Deluxe Edition] [CD],Meghan Trainor,Pop,5/13/2016,4.5,Thank You,Meghan Trainor,"Pop,Pop/Rock,Dance-Pop,Teen Pop,Contemporary Pop/Rock",13-May-16,5.5
7,193,1282,12,Oh My My [CD],OneRepublic,Pop,10/7/2016,4.6,Oh My My,OneRepublic,"Pop,Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock",7-Oct-16,7.9
8,306,2696,18,Mad Love [CD] [PA],JoJo,Pop,10/14/2016,4.7,Mad Love,JoJo,"Pop,Pop/Rock,Dance-Pop",14-Oct-16,8.6
9,330,4357,18,Mad Love [CD],JoJo,Pop,10/14/2016,5,Mad Love,JoJo,"Pop,Pop/Rock,Dance-Pop",14-Oct-16,8.6
